lat,long,elevation
-70,165,-479.7
-70,170,-2710.8
-70,175,-3086
-65,-175,-2713.3
-65,-170,-2864.7
-65,-165,-3076
-65,-160,-4006.5
-65,-155,-3715.3
-65,-150,-4126.5
-65,-145,-4426.5
-65,-140,-4156.3
-65,-135,-4632.2
-65,-130,-4739
-65,-125,-4916.5
-65,-120,-4959.7
-65,-115,-4953
-65,-110,-5010.5
-65,-105,-4922
-65,-100,-4884
-65,-95,-4763.5
-65,-90,-4460
-65,-85,-4556.5
-65,-80,-4232.5
-65,-75,-3894.7
-65,-70,-3198.3
-65,-65,-150.5
-65,-60,13.2
-65,-55,-318.8
-65,-50,-3533
-65,-45,-4482.5
-65,-40,-4742.8
-65,-35,-4766.5
-65,-30,-4906
-65,-25,-4966.2
-65,-20,-4979.5
-65,-15,-5051
-65,-10,-5033
-65,-5,-5078.7
-65,0,-3996
-65,5,-3770.2
-65,10,-4695.5
-65,15,-3938
-65,20,-4832.3
-65,25,-4942
-65,30,-4900.5
-65,35,-4785.7
-65,40,-4725.8
-65,45,-3856.8
-65,50,-2561.7
-65,55,-3657.5
-65,60,-4040.3
-65,65,-3084.5
-65,70,-2958.8
-65,75,-3269.5
-65,80,-3498
-65,85,-3052.8
-65,90,-2967.2
-65,95,-135.5
-65,100,-403.7
-65,105,-844.2
-65,110,-2554.5
-65,115,-1809
-65,120,-2739.5
-65,125,-2419
-65,130,-994.4
-65,135,-581.7
-65,140,-2601.3
-65,145,-3253.5
-65,150,-3302
-65,155,-3265.8
-65,160,-3040.2
-65,165,-3027.2
-65,170,-2452.9
-65,175,-2863.2
-60,-175,-4263.8
-60,-170,-3902.4
-60,-165,-4445.8
-60,-160,-3459.5
-60,-155,-3322.3
-60,-150,-2788.5
-60,-145,-3411
-60,-140,-3850.3
-60,-135,-3866.3
-60,-130,-4259.3
-60,-125,-4442.8
-60,-120,-4669.8
-60,-115,-4887.7
-60,-110,-5189.1
-60,-105,-4829.5
-60,-100,-4864.4
-60,-95,-4945.8
-60,-90,-5101.3
-60,-85,-4922.3
-60,-80,-5043
-60,-75,-4613.8
-60,-70,-4442
-60,-65,-2982.8
-60,-60,-4126.2
-60,-55,-3521.5
-60,-50,-3363.8
-60,-45,-5279.7
-60,-40,-1528.5
-60,-35,-1285.8
-60,-30,-2513.3
-60,-25,-4773.7
-60,-20,-3052.8
-60,-15,-4430.5
-60,-10,-4388.3
-60,-5,-5224.8
-60,0,-5320
-60,5,-5150.5
-60,10,-5111.5
-60,15,-5204.8
-60,20,-4995.5
-60,25,-5200
-60,30,-5190.5
-60,35,-5259.5
-60,40,-5306.3
-60,45,-5300.3
-60,50,-5276
-60,55,-5133.3
-60,60,-4840.3
-60,65,-4633.5
-60,70,-4386.7
-60,75,-2127.5
-60,80,-2133.5
-60,85,-2205.8
-60,90,-4456.8
-60,95,-4458.5
-60,100,-4469.2
-60,105,-4290.8
-60,110,-4361.2
-60,115,-4508.5
-60,120,-4444.3
-60,125,-4427
-60,130,-4535.3
-60,135,-4586
-60,140,-4445.8
-60,145,-3852
-60,150,-3219.2
-60,155,-2968
-60,160,-3714.8
-60,165,-3938
-60,170,-4997.5
-60,175,-4496
-55,-175,-5210.5
-55,-170,-4808.3
-55,-165,-4715.5
-55,-160,-4352.2
-55,-155,-3819
-55,-150,-3947.5
-55,-145,-3627.2
-55,-140,-2938.8
-55,-135,-2939.7
-55,-130,-3505.3
-55,-125,-3425.2
-55,-120,-2832.8
-55,-115,-3491.5
-55,-110,-3816.5
-55,-105,-4399.7
-55,-100,-3942.3
-55,-95,-5696.8
-55,-90,-4874.7
-55,-85,-4891
-55,-80,-4568.2
-55,-75,-4314.5
-55,-65,-354
-55,-60,-1290.5
-55,-55,-3919.7
-55,-50,-4040.5
-55,-45,-3619
-55,-40,-3008.8
-55,-35,-114.8
-55,-30,-6475.8
-55,-25,-4493
-55,-20,-4984.7
-55,-15,-4041.8
-55,-10,-3524.2
-55,-5,-2900.7
-55,0,-1672
-55,5,-3540.5
-55,10,-5030.5
-55,15,-4676
-55,20,-4894
-55,25,-4583.5
-55,30,-5490.5
-55,35,-5062.8
-55,40,-3498
-55,45,-4160.7
-55,50,-5269.3
-55,55,-4774.5
-55,60,-4793.7
-55,65,-3906.7
-55,70,-3939.5
-55,75,-2047.3
-55,80,-3598.5
-55,85,-4616.8
-55,90,-4311.7
-55,95,-4372.5
-55,100,-3856.5
-55,105,-4102.8
-55,110,-3853
-55,115,-4437.7
-55,120,-4542
-55,125,-4707.8
-55,130,-4312.3
-55,135,-3940.7
-55,140,-3372.7
-55,145,-2579.5
-55,150,-3685.5
-55,155,-4235.7
-55,160,-3998.2
-55,165,-3422.8
-55,170,-3968.2
-55,175,-5223.8
-50,-175,-5397.5
-50,-170,-5260.8
-50,-165,-5159.8
-50,-160,-5085.7
-50,-155,-5073.7
-50,-150,-4004.3
-50,-145,-4225.5
-50,-140,-3988.5
-50,-135,-4594.5
-50,-130,-4185.5
-50,-125,-3776.8
-50,-120,-3247.5
-50,-115,-2920.3
-50,-110,-3373.5
-50,-105,-4024.7
-50,-100,-4253.5
-50,-95,-4579.8
-50,-90,-4330
-50,-85,-4439
-50,-80,-3999.8
-50,-75,-436.5
-50,-70,444
-50,-65,-114
-50,-60,-198.8
-50,-55,-1016
-50,-50,-2715
-50,-45,-2796.5
-50,-40,-2936.5
-50,-35,-4991.2
-50,-30,-4759.8
-50,-25,-4546.3
-50,-20,-4296.3
-50,-15,-4048.8
-50,-10,-3135.5
-50,-5,-2746.3
-50,0,-3549.5
-50,5,-2359.5
-50,10,-3543.3
-50,15,-4360
-50,20,-4362.5
-50,25,-4528.8
-50,30,-3711.5
-50,35,-4819.3
-50,40,-4370.3
-50,45,-4337.5
-50,50,-4366
-50,55,-4267
-50,60,-4721.8
-50,65,-317
-50,70,-152.2
-50,75,-2800.8
-50,80,-3665
-50,85,-4161.3
-50,90,-4087.3
-50,95,-3585.5
-50,100,-3397
-50,105,-3177.5
-50,110,-3288.3
-50,115,-3538.3
-50,120,-3285
-50,125,-4512.3
-50,130,-3390.5
-50,135,-3165
-50,140,-3659.5
-50,145,-3912.5
-50,150,-4051.8
-50,155,-4375.5
-50,160,-4588.7
-50,165,-3610.5
-50,170,-614.8
-50,175,-854.5
-45,-175,-3420.5
-45,-170,-5187
-45,-165,-5559.5
-45,-160,-4935.7
-45,-155,-4519.3
-45,-150,-5143
-45,-145,-5181.5
-45,-140,-5222.5
-45,-135,-4929.5
-45,-130,-4835.3
-45,-125,-4448.5
-45,-120,-3707.3
-45,-115,-3271.5
-45,-110,-3172
